Date,Open,Volume,Percent growth,Trend
1/1/1996,5115.700195,851030000,0.054577027,1
2/1/1996,5394.899902,769130000,0.017294166,1
3/1/1996,5488.200195,831070000,0.018293776,1
4/1/1996,5588.600098,756530000,-0.003757649,-1
5/1/1996,5567.600098,801900000,0.013704254,1
6/1/1996,5643.899902,647790000,0.001895887,0
7/1/1996,5654.600098,781850000,-0.022229723,-1
8/1/1996,5528.899902,615820000,0.014993924,1
9/1/1996,5611.799805,649320000,0.047507058,1
10/1/1996,5878.399902,766260000,0.025296033,1
11/1/1996,6027.100098,741560000,0.081880173,1
12/1/1996,6520.600098,781180000,-0.01121064,-1
1/1/1997,6447.5,1003920000,0.056347391,1
2/1/1997,6810.799805,765900000,0.009323428,1
3/1/1997,6874.299805,962230000,-0.042302462,-1
4/1/1997,6583.5,1098930000,0.064629792,1
5/1/1997,7008.990234,1046600000,0.04594239,1
6/1/1997,7331,1086740000,0.047333242,1
7/1/1997,7678,1265280000,0.070955953,1
8/1/1997,8222.799805,1123190000,-0.071885443,-1
9/1/1997,7631.700195,1212550000,0.041511039,1
10/1/1997,7948.5,1605030000,-0.063244662,-1
11/1/1997,7445.799805,1068290000,0.0509442,1
12/1/1997,7825.120117,1156060000,0.010872687,1
1/1/1998,7910.200195,1324260000,-2.65E-05,-1
2/1/1998,7909.990234,1031480000,0.080212424,1
3/1/1998,8544.469727,1191880000,0.030088449,1
4/1/1998,8801.55957,1387960000,0.03011407,1
5/1/1998,9066.610352,1075240000,-0.018271454,-1
6/1/1998,8900.950195,1287570000,0.006520657,1
7/1/1998,8958.990234,1413670000,-0.008449635,-1
8/1/1998,8883.290039,1641660000,-0.150566993,-1
9/1/1998,7545.759766,1897140000,0.039170385,1
10/1/1998,7841.330078,1916330000,0.096204357,1
11/1/1998,8595.700195,1389030000,0.060594204,1
12/1/1998,9116.549805,1507520000,0.007399725,1
1/1/1999,9184.009766,1746490000,0.019119083,1
2/1/1999,9359.599609,1545220000,-0.005578226,-1
3/1/1999,9307.389648,1993040000,0.051469939,1
4/1/1999,9786.44043,2096500000,0.102447832,1
5/1/1999,10789.04004,1842620000,-0.021135363,-1
6/1/1999,10561.00977,1766990000,0.038352397,1
7/1/1999,10966.0498,1672190000,-0.028380295,-1
8/1/1999,10654.83008,1857760000,0.016294052,1
9/1/1999,10828.44043,1751910000,-0.045505168,-1
10/1/1999,10335.69043,2203030000,0.038225781,1
11/1/1999,10730.78027,3250890000,0.013576781,1
12/1/1999,10876.46973,3166150000,0.057498425,1
1/1/2000,11501.84961,3854530000,-0.049045101,-1
2/1/2000,10937.74023,3661120000,-0.074021678,-1
3/1/2000,10128.11035,4754630000,0.072587077,1
4/1/2000,10863.28027,4049750000,-0.010481213,-1
5/1/2000,10749.41992,3816980000,-0.020201126,-1
6/1/2000,10532.26953,3823590000,-0.007776973,-1
7/1/2000,10450.36035,3248880000,0.007028391,1
8/1/2000,10523.80957,3620730000,0.066110135,1
9/1/2000,11219.54004,4639930000,-0.049955744,-1
10/1/2000,10659.05957,6254820000,0.0288159,1
11/1/2000,10966.20996,4680310000,-0.050103928,-1
12/1/2000,10416.75977,5202580000,0.035919054,1
1/1/2001,10790.91992,5825960000,0.008701797,1
2/1/2001,10884.82031,4164820000,-0.03597398,-1
3/1/2001,10493.25,6086470000,-0.058712967,-1
4/1/2001,9877.160156,5241100000,0.086754658,1
5/1/2001,10734.0498,4518100000,0.016724397,1
6/1/2001,10913.57031,4914500000,-0.03744147,-1
7/1/2001,10504.9502,4605880000,0.002135154,0
8/1/2001,10527.37988,4083400000,-0.055132371,-1
9/1/2001,9946.980469,5555020000,-0.110687936,-1
10/1/2001,8845.969727,5722030000,0.02729836,1
11/1/2001,9087.450195,4722560000,0.083794626,1
